,Id,Gender,Customer_type,Age,Type_of_travel,Class,Flight_distance,Inflight_wifi_service,Departure/arrival_time_convenient,Ease_of_online_booking,Gate_location,Food_and_drink,Online_boarding,Seat_comfort,Inflight_entertainment,On-board_service,Leg_room_service,Baggage_handling,Checkin_service,Inflight_service,Cleanliness,Departure_delay_in_minutes,Arrival_delay_in_minutes,Satisfaction,Is_delayed,Age_group
53,83968,Male,Loyal customer,56,Business travel,Eco,321,2,3,4,3,2,2,2,2,2,5,3,3,3,2,0.0,0.0,Neutral or dissatisfied,0,Middle Age
54,122719,Female,Loyal customer,30,Business travel,Business,651,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0.0,0.0,Satisfied,0,Adult
55,3949,Male,Disloyal customer,27,Business travel,Business,764,3,3,3,2,2,3,2,2,2,1,3,3,2,2,30.0,32.5,Neutral or dissatisfied,1,Adult
56,45542,Male,Loyal customer,27,Business travel,Business,566,3,3,3,3,5,5,5,5,4,3,1,1,1,5,0.0,0.0,Satisfied,0,Adult
57,43742,Female,Loyal customer,67,Personal travel,Eco,626,3,4,3,1,2,4,5,3,3,3,3,3,3,5,0.0,0.0,Neutral or dissatisfied,0,Senior
58,122093,Female,Loyal customer,32,Personal travel,Eco,130,3,0,3,3,4,3,5,4,2,2,4,5,3,4,3.0,4.0,Neutral or dissatisfied,0,Adult
59,121454,Male,Disloyal customer,36,Business travel,Eco,331,2,0,2,1,1,2,1,1,4,3,4,1,3,1,0.0,0.0,Neutral or dissatisfied,0,Adult
60,738,Male,Loyal customer,44,Business travel,Business,158,3,3,3,3,5,4,5,4,4,5,4,4,4,5,30.0,32.5,Satisfied,1,Middle Age
61,75235,Female,Loyal customer,70,Personal travel,Eco,1829,1,4,1,1,2,5,5,5,5,1,5,4,5,3,0.0,0.0,Neutral or dissatisfied,0,Senior
62,88653,Female,Loyal customer,55,Personal travel,Eco,646,3,2,3,4,4,3,4,5,5,3,5,4,5,3,0.0,3.0,Neutral or dissatisfied,0,Middle Age
63,26594,Male,Loyal customer,66,Business travel,Eco,404,4,1,1,1,4,4,4,4,3,1,3,2,5,4,9.0,6.0,Satisfied,0,Senior
64,38339,Female,Loyal customer,19,Business travel,Business,2738,5,5,5,5,3,4,3,3,5,3,3,1,2,3,0.0,0.0,Satisfied,0,Young
65,46063,Female,Loyal customer,53,Personal travel,Eco plus,964,1,5,1,2,4,4,5,4,4,1,4,5,4,4,6.0,0.0,Neutral or dissatisfied,0,Middle Age
66,27957,Male,Loyal customer,22,Business travel,Business,1660,2,2,2,2,2,2,2,2,4,3,2,2,4,2,0.0,0.0,Neutral or dissatisfied,0,Young
67,17270,Female,Loyal customer,69,Personal travel,Eco,872,2,3,2,2,4,2,3,5,5,2,5,3,5,3,14.0,0.0,Neutral or dissatisfied,0,Senior
68,87976,Female,Loyal customer,42,Business travel,Business,1898,5,5,5,5,5,4,4,5,5,5,5,4,5,3,30.0,32.5,Satisfied,1,Middle Age
69,31640,Female,Loyal customer,41,Business travel,Business,967,2,2,2,2,2,3,5,4,4,4,4,5,4,5,30.0,32.5,Satisfied,1,Middle Age
70,41461,Female,Loyal customer,53,Personal travel,Business,1242,3,4,3,5,3,3,5,1,1,3,1,4,1,4,3.0,0.0,Neutral or dissatisfied,0,Middle Age
71,15143,Male,Loyal customer,35,Business travel,Business,1042,3,2,2,2,2,4,3,3,3,3,3,3,3,2,0.0,0.0,Neutral or dissatisfied,0,Adult
72,78136,Female,Loyal customer,54,Personal travel,Business,153,3,5,3,5,2,4,5,2,2,3,2,4,2,5,0.0,0.0,Neutral or dissatisfied,0,Middle Age
73,120433,Male,Loyal customer,44,Business travel,Business,366,3,3,2,3,2,5,4,4,4,4,4,3,4,4,5.0,24.0,Satisfied,0,Middle Age
74,41440,Female,Disloyal customer,26,Business travel,Eco plus,913,1,2,2,2,4,2,3,4,3,2,1,1,4,4,0.0,0.0,Neutral or dissatisfied,0,Adult
75,15963,Female,Loyal customer,44,Personal travel,Eco,528,2,5,2,3,2,5,4,5,5,2,5,3,5,3,0.0,0.0,Neutral or dissatisfied,0,Middle Age
76,64303,Female,Disloyal customer,24,Business travel,Eco,1172,2,3,3,2,5,3,5,5,4,5,5,4,5,5,28.0,27.0,Neutral or dissatisfied,1,Young
77,3608,Female,Loyal customer,54,Personal travel,Eco,999,2,4,2,4,4,5,5,5,5,2,5,5,5,4,0.0,0.0,Neutral or dissatisfied,0,Middle Age
78,7744,Male,Loyal customer,42,Business travel,Eco plus,489,2,2,2,2,2,2,2,2,4,3,3,1,2,2,0.0,0.0,Neutral or dissatisfied,0,Middle Age
79,21276,Male,Disloyal customer,36,Business travel,Eco,692,1,1,1,4,1,1,1,1,1,5,3,1,2,1,0.0,0.0,Neutral or dissatisfied,0,Adult
80,58576,Female,Loyal customer,61,Business travel,Business,1585,2,2,3,2,1,1,5,3,3,4,3,4,3,4,24.0,20.0,Satisfied,1,Senior
81,53888,Female,Loyal customer,50,Personal travel,Eco,140,2,4,2,4,4,4,5,2,2,2,2,3,2,5,0.0,0.0,Neutral or dissatisfied,0,Middle Age
82,10980,Male,Loyal customer,27,Business travel,Business,2729,3,3,3,3,5,5,5,5,4,4,4,5,2,5,30.0,32.5,Satisfied,1,Adult
83,54151,Male,Loyal customer,55,Business travel,Business,1400,3,5,5,5,4,3,2,3,3,3,3,1,3,4,1.0,0.0,Neutral or dissatisfied,0,Middle Age
84,115641,Male,Disloyal customer,21,Business travel,Eco,447,2,2,1,4,1,1,1,1,4,4,3,4,3,1,7.0,0.0,Neutral or dissatisfied,0,Young
85,58584,Female,Loyal customer,31,Personal travel,Business,334,2,1,2,4,5,2,5,5,2,4,3,2,4,5,5.0,0.0,Neutral or dissatisfied,0,Adult
86,50472,Female,Disloyal customer,37,Business travel,Eco,158,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24.0,20.0,Neutral or dissatisfied,1,Adult
87,102623,Female,Loyal customer,50,Business travel,Business,3696,1,1,5,1,2,4,4,5,5,5,5,4,5,5,9.0,0.0,Satisfied,0,Middle Age
88,31533,Female,Loyal customer,21,Personal travel,Eco,846,1,4,1,3,3,1,3,3,5,4,5,4,5,3,9.0,17.0,Neutral or dissatisfied,0,Young
89,42287,Female,Loyal customer,53,Business travel,Eco,329,1,0,0,3,1,3,3,4,4,1,4,4,4,1,0.0,0.0,Neutral or dissatisfied,0,Middle Age
90,70467,Male,Loyal customer,45,Business travel,Business,2580,3,3,3,3,3,4,4,5,5,5,5,3,5,4,0.0,11.0,Satisfied,0,Middle Age
91,20461,Female,Disloyal customer,42,Business travel,Eco,84,3,5,3,1,5,3,5,5,5,5,3,5,4,5,0.0,32.5,Neutral or dissatisfied,0,Middle Age
92,113346,Male,Loyal customer,59,Business travel,Business,3358,3,3,3,3,3,5,4,4,4,4,4,4,4,3,0.0,0.0,Satisfied,0,Middle Age
93,115566,Female,Loyal customer,54,Business travel,Eco,308,2,1,4,4,5,3,3,2,2,2,2,4,2,1,30.0,32.5,Neutral or dissatisfied,1,Middle Age
94,119896,Female,Loyal customer,46,Business travel,Business,912,1,1,1,1,2,4,4,4,4,4,4,5,4,4,5.0,0.0,Satisfied,0,Middle Age
95,88853,Female,Loyal customer,52,Personal travel,Eco plus,406,3,4,3,1,2,5,4,2,2,3,2,3,2,4,0.0,0.0,Neutral or dissatisfied,0,Middle Age
96,24895,Female,Loyal customer,38,Personal travel,Eco,397,2,5,2,2,5,2,5,5,5,4,4,5,5,5,0.0,0.0,Neutral or dissatisfied,0,Adult
97,31122,Male,Loyal customer,35,Business travel,Business,2409,3,3,3,3,1,4,3,4,4,4,4,3,4,3,0.0,0.0,Satisfied,0,Adult
98,91231,Female,Loyal customer,41,Personal travel,Eco,545,2,2,2,3,4,2,4,4,1,3,4,1,4,4,0.0,0.0,Neutral or dissatisfied,0,Middle Age
99,61426,Female,Disloyal customer,40,Business travel,Business,2419,2,2,2,3,4,2,4,4,3,2,3,3,5,4,0.0,0.0,Neutral or dissatisfied,0,Adult
100,68873,Female,Disloyal customer,36,Business travel,Eco,1061,2,2,2,1,4,2,4,4,1,4,2,4,2,4,13.0,0.0,Neutral or dissatisfied,0,Adult
101,125701,Male,Loyal customer,67,Personal travel,Eco,899,2,5,2,2,2,2,2,2,5,2,4,5,5,2,0.0,0.0,Neutral or dissatisfied,0,Senior
102,94999,Female,Loyal customer,38,Personal travel,Eco,293,4,4,4,4,5,4,5,5,2,2,4,4,4,5,5.0,0.0,Satisfied,0,Adult
103,56694,Female,Loyal customer,50,Personal travel,Eco,1085,3,5,3,2,5,5,5,5,5,3,5,3,5,4,0.0,0.0,Neutral or dissatisfied,0,Middle Age
104,62010,Male,Loyal customer,50,Business travel,Business,2475,5,5,5,5,2,5,4,2,2,2,2,3,2,5,0.0,0.0,Satisfied,0,Middle Age
105,95868,Male,Loyal customer,54,Business travel,Business,2544,5,5,3,5,5,4,5,3,3,3,3,4,3,5,30.0,32.5,Satisfied,1,Middle Age
106,123064,Male,Loyal customer,56,Business travel,Business,2556,4,4,4,4,4,5,4,4,4,4,4,3,4,5,30.0,32.5,Satisfied,1,Middle Age
107,103418,Male,Loyal customer,38,Personal travel,Eco,237,3,4,3,4,2,3,2,2,3,3,4,4,3,2,0.0,2.0,Neutral or dissatisfied,0,Adult
108,73456,Female,Loyal customer,7,Personal travel,Eco,1120,3,5,3,3,2,3,2,2,4,4,4,5,5,2,16.0,13.0,Neutral or dissatisfied,1,Young
109,8851,Female,Loyal customer,32,Business travel,Business,2668,5,5,4,5,4,4,4,4,5,2,5,5,5,4,2.0,0.0,Satisfied,0,Adult
110,64241,Male,Loyal customer,45,Business travel,Eco,1660,4,1,1,1,4,4,4,4,2,5,2,4,3,4,0.0,7.0,Neutral or dissatisfied,0,Middle Age
111,81723,Male,Disloyal customer,25,Business travel,Eco,1310,2,2,2,4,3,2,3,3,1,4,3,1,4,3,0.0,24.0,Neutral or dissatisfied,0,Young
112,88237,Female,Loyal customer,45,Business travel,Business,2374,5,5,5,5,4,5,4,4,4,4,4,5,4,5,0.0,0.0,Satisfied,0,Middle Age
113,50619,Male,Loyal customer,34,Personal travel,Eco,209,3,4,0,1,1,0,1,1,1,5,5,2,3,1,0.0,0.0,Neutral or dissatisfied,0,Adult
114,54444,Male,Loyal customer,20,Personal travel,Eco plus,305,3,4,3,3,1,3,1,1,3,3,4,4,5,1,5.0,2.0,Neutral or dissatisfied,0,Young
115,64765,Female,Disloyal customer,36,Business travel,Eco,247,2,1,2,3,1,2,1,1,4,1,3,1,2,1,16.0,6.0,Neutral or dissatisfied,1,Adult
116,15941,Male,Disloyal customer,36,Business travel,Eco,338,3,4,3,4,2,3,2,2,3,4,3,1,3,2,0.0,0.0,Neutral or dissatisfied,0,Adult
117,14965,Male,Loyal customer,27,Business travel,Business,3200,1,1,1,1,5,5,5,5,4,5,2,2,1,5,0.0,0.0,Satisfied,0,Adult
118,36897,Male,Loyal customer,40,Personal travel,Eco,1368,3,4,2,4,3,2,3,3,4,2,3,3,4,3,0.0,0.0,Neutral or dissatisfied,0,Adult
119,127954,Male,Loyal customer,31,Business travel,Business,1999,4,5,4,4,5,5,5,5,4,4,4,3,4,5,0.0,4.0,Satisfied,0,Adult
120,27872,Male,Loyal customer,25,Business travel,Eco plus,680,0,5,0,2,1,0,1,1,3,1,4,5,5,1,0.0,0.0,Satisfied,0,Young
121,35854,Male,Loyal customer,42,Business travel,Business,537,2,2,2,2,1,5,3,5,5,5,5,4,5,3,0.0,0.0,Satisfied,0,Middle Age
122,14527,Female,Loyal customer,45,Business travel,Eco,288,5,1,1,1,1,2,3,5,5,5,5,1,5,3,29.0,32.5,Satisfied,1,Middle Age
123,47021,Male,Loyal customer,59,Personal travel,Business,639,2,1,2,3,4,3,3,3,3,2,3,2,3,1,0.0,11.0,Neutral or dissatisfied,0,Middle Age
124,11224,Male,Loyal customer,34,Personal travel,Eco,201,3,5,3,3,2,3,5,2,5,2,1,3,1,2,3.0,8.0,Neutral or dissatisfied,0,Adult
125,3921,Female,Loyal customer,22,Personal travel,Eco,213,3,5,3,4,3,3,1,3,1,5,1,3,2,3,0.0,17.0,Neutral or dissatisfied,0,Young
126,69463,Male,Loyal customer,21,Personal travel,Eco,1096,2,2,2,4,2,2,3,2,3,1,3,2,4,2,0.0,0.0,Neutral or dissatisfied,0,Young
127,47050,Male,Loyal customer,26,Business travel,Business,1680,3,1,1,1,3,3,3,3,1,2,4,2,3,3,27.0,10.0,Neutral or dissatisfied,1,Adult
128,21970,Male,Loyal customer,37,Business travel,Business,2401,2,2,2,2,5,3,1,4,4,4,4,1,4,5,30.0,32.5,Satisfied,1,Adult
129,30046,Male,Loyal customer,38,Business travel,Business,2746,2,2,2,2,2,5,2,4,4,4,4,1,4,5,0.0,0.0,Satisfied,0,Adult
130,1256,Female,Loyal customer,17,Personal travel,Eco,89,3,4,3,1,5,3,3,5,3,4,5,5,5,5,0.0,0.0,Neutral or dissatisfied,0,Young
131,73813,Male,Loyal customer,15,Personal travel,Eco plus,192,2,4,2,3,5,2,5,5,5,4,5,5,5,5,5.0,8.0,Neutral or dissatisfied,0,Young
132,110928,Female,Loyal customer,53,Personal travel,Eco,404,3,3,3,4,4,4,4,5,5,3,5,1,5,2,0.0,0.0,Neutral or dissatisfied,0,Middle Age
133,102981,Male,Disloyal customer,39,Business travel,Business,546,4,4,4,4,2,4,2,2,3,5,5,3,4,2,30.0,32.5,Neutral or dissatisfied,1,Adult
134,61571,Male,Loyal customer,40,Business travel,Business,2400,4,3,4,4,2,4,5,5,5,5,5,3,5,3,0.0,0.0,Satisfied,0,Adult
135,3796,Female,Disloyal customer,28,Business travel,Eco plus,599,2,2,2,3,4,2,4,4,3,3,3,1,3,4,0.0,32.5,Neutral or dissatisfied,0,Adult
136,73906,Female,Disloyal customer,27,Business travel,Business,2342,3,3,3,4,2,3,2,2,4,3,5,3,5,2,10.0,0.0,Neutral or dissatisfied,0,Adult
137,74090,Female,Loyal customer,41,Business travel,Business,3046,5,5,5,5,3,5,5,4,4,4,4,4,4,5,0.0,0.0,Satisfied,0,Middle Age
138,76645,Female,Loyal customer,7,Personal travel,Eco,516,2,4,2,3,5,2,5,5,5,4,5,5,4,5,0.0,0.0,Neutral or dissatisfied,0,Young
139,100462,Male,Disloyal customer,48,Business travel,Business,759,3,3,3,2,2,3,2,2,4,2,5,4,5,2,2.0,1.0,Neutral or dissatisfied,0,Middle Age
140,54164,Male,Loyal customer,13,Business travel,Eco,1400,2,1,1,1,2,1,2,2,4,3,3,3,4,2,0.0,0.0,Neutral or dissatisfied,0,Young
141,6147,Female,Loyal customer,48,Business travel,Business,491,3,3,3,3,4,4,4,4,4,4,4,3,4,5,0.0,0.0,Satisfied,0,Middle Age
142,1262,Female,Loyal customer,49,Personal travel,Eco,134,3,3,3,3,5,3,3,4,4,3,4,1,4,4,8.0,3.0,Neutral or dissatisfied,0,Middle Age
143,20310,Male,Disloyal customer,26,Business travel,Business,900,5,5,5,3,1,5,1,1,4,3,5,5,5,1,5.0,0.0,Satisfied,0,Adult
144,46896,Male,Loyal customer,22,Business travel,Business,3648,2,2,2,2,3,3,3,3,2,4,3,5,3,3,0.0,0.0,Satisfied,0,Young
145,7237,Female,Loyal customer,53,Business travel,Business,3769,3,1,5,1,1,3,1,2,4,3,4,1,2,1,30.0,32.5,Neutral or dissatisfied,1,Middle Age
146,44293,Female,Loyal customer,43,Business travel,Eco,563,4,4,4,4,3,5,5,4,4,4,4,5,4,5,0.0,0.0,Satisfied,0,Middle Age
147,52496,Male,Loyal customer,56,Business travel,Business,3131,1,1,1,1,2,5,4,4,4,4,5,4,4,5,0.0,0.0,Satisfied,0,Middle Age
148,68263,Female,Loyal customer,69,Personal travel,Eco,631,3,5,2,5,3,3,4,5,5,2,5,1,5,1,0.0,0.0,Neutral or dissatisfied,0,Senior
149,5289,Male,Loyal customer,59,Personal travel,Eco,351,4,3,4,4,1,4,1,1,1,5,4,2,4,1,0.0,0.0,Satisfied,0,Middle Age
150,109359,Female,Loyal customer,56,Business travel,Business,1189,5,5,3,5,5,4,5,2,2,2,2,4,2,3,9.0,0.0,Satisfied,0,Middle Age
151,94988,Male,Loyal customer,11,Personal travel,Eco,562,5,5,5,5,3,5,3,3,4,4,5,1,2,3,0.0,0.0,Satisfied,0,Young
152,53605,Female,Loyal customer,25,Business travel,Eco,1874,4,3,3,3,4,4,3,4,3,1,4,5,1,4,30.0,32.5,Satisfied,1,Young
153,11005,Female,Disloyal customer,29,Business travel,Eco,158,4,0,4,1,2,4,2,2,1,5,2,2,2,2,0.0,0.0,Satisfied,0,Adult
154,14794,Female,Loyal customer,48,Business travel,Eco,95,5,3,3,3,1,2,1,5,5,5,5,1,5,2,0.0,0.0,Satisfied,0,Middle Age
155,49480,Female,Loyal customer,42,Business travel,Business,266,1,1,1,1,4,3,4,4,4,4,4,2,4,1,0.0,0.0,Satisfied,0,Middle Age
156,120440,Male,Disloyal customer,15,Business travel,Eco,449,1,4,1,2,3,1,4,3,1,3,5,4,5,3,0.0,0.0,Neutral or dissatisfied,0,Young
157,55823,Female,Disloyal customer,49,Business travel,Business,1416,3,4,4,2,2,3,2,2,4,2,5,5,4,2,0.0,0.0,Neutral or dissatisfied,0,Middle Age
158,107792,Male,Loyal customer,41,Business travel,Business,2388,2,2,2,2,5,5,4,4,4,4,4,5,4,5,29.0,18.0,Satisfied,1,Middle Age
159,80531,Male,Loyal customer,43,Business travel,Business,1678,1,1,2,1,3,4,4,2,2,2,2,4,2,5,0.0,0.0,Satisfied,0,Middle Age
160,128145,Male,Loyal customer,60,Business travel,Business,1972,5,5,2,5,4,3,5,5,5,5,5,5,5,3,0.0,0.0,Satisfied,0,Middle Age
161,63370,Female,Loyal customer,42,Personal travel,Eco,337,4,1,4,3,3,3,3,3,3,4,1,2,3,2,0.0,0.0,Satisfied,0,Middle Age
162,12452,Female,Loyal customer,8,Personal travel,Eco,253,3,3,3,1,4,3,4,4,5,5,2,4,3,4,0.0,0.0,Neutral or dissatisfied,0,Young
163,16145,Female,Loyal customer,42,Business travel,Eco,212,5,3,3,3,5,3,5,5,5,5,5,5,5,2,30.0,32.5,Satisfied,1,Middle Age
164,44418,Male,Disloyal customer,18,Business travel,Eco plus,342,1,1,1,3,3,1,3,3,2,1,4,1,3,3,30.0,32.5,Neutral or dissatisfied,1,Young
165,95746,Male,Loyal customer,47,Business travel,Business,3556,2,2,2,2,3,5,3,5,5,5,5,3,5,4,0.0,0.0,Satisfied,0,Middle Age
166,41134,Female,Disloyal customer,27,Business travel,Eco,191,4,4,4,4,5,4,5,5,2,1,3,2,3,5,16.0,12.0,Neutral or dissatisfied,1,Adult
167,3214,Female,Loyal customer,67,Personal travel,Eco plus,693,3,1,3,1,5,1,2,1,1,3,1,1,1,4,30.0,32.5,Neutral or dissatisfied,1,Senior
